attendance_percentage,internal_marks,assignment_score,study_hours_per_week,risk_level
29,31,33,2.4,High
74,62,70,7.1,Medium
79,92,93,10.7,Low
89,88,80,11.9,Low
56,70,58,6.2,Medium
33,37,47,2.9,High
57,74,73,7.5,Medium
98,96,95,11.2,Low
88,83,97,21.9,Low
97,86,94,16.6,Low
99,86,97,20.2,Low
60,60,60,0.5,Medium
87,87,90,15.0,Low
30,22,43,1.4,High
57,66,76,10.0,Low
34,21,52,0.3,High
27,29,43,2.3,High
88,86,81,20.3,Low
57,72,54,6.7,Medium
68,62,65,6.6,Medium
46,25,41,2.2,High
51,24,21,0.9,High
96,80,90,14.1,Low
64,51,74,5.1,Medium
95,88,95,16.5,Low
52,45,18,3.9,High
87,87,87,21.2,Low
92,92,97,11.6,Low
84,89,78,14.7,Low
70,71,70,6.6,Medium
26,17,19,4.0,High
23,31,27,1.2,High
84,96,90,16.9,Low
96,97,85,18.7,Low
91,81,84,11.7,Low
72,54,62,4.6,Medium
45,43,44,1.0,High
95,83,76,14.0,Low
97,88,92,15.6,Low
61,71,77,5.5,Medium
83,96,85,20.2,Low
93,74,84,16.1,Low
35,26,29,1.5,High
70,71,59,8.2,Medium
52,32,42,2.9,High
94,92,77,14.5,Low
75,71,61,5.9,Medium
86,72,83,18.8,Low
44,47,40,0.7,High
90,73,98,19.9,Low
80,83,85,15.1,Low
99,89,88,17.9,Low
58,74,67,5.4,Medium
26,29,26,1.8,High
57,68,64,8.5,Medium
51,39,28,2.1,High
91,79,92,16.2,Low
36,19,32,3.0,High
68,58,78,4.7,Medium
93,74,91,17.2,Low
87,78,87,18.5,Low
29,27,22,0.2,High
87,88,79,21.1,Low
68,73,62,8.2,Low
93,90,96,10.1,Low
61,73,54,6.8,Medium
49,33,45,3.4,High
100,95,98,25,Low
33,41,35,0.8,High
80,78,81,21.1,Low
87,88,79,18.1,Low
24,40,37,4.4,High
56,17,46,3.9,High
85,90,97,14.2,Low
92,81,82,20.0,Low
23,17,21,2.8,High
90,78,91,19.0,Low
87,73,83,17.8,Low
95,90,83,11.0,Low
72,74,56,5.3,Medium
22,34,27,2.0,High
83,94,85,19.4,Low
35,20,40,0.1,High
80,73,78,17.2,Low
70,65,73,9.6,Low
92,98,89,21.4,Low
43,28,38,1.0,High
92,96,78,10.5,Low
25,36,18,3.4,High
73,51,71,8.2,Medium
55,63,63,8.0,Medium
70,71,68,9.4,Low
59,53,65,9.8,Medium
43,46,52,0.4,High
78,57,77,7.9,Low
48,34,45,2.1,High
67,69,55,5.3,Medium
72,52,58,8.5,Medium
73,65,72,5.4,Medium
95,78,76,11.5,Low
